Id,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
1,15-12-2011,0.485,0.432045455,0.868,22,0.239145797,9.505,0.072
2,16-12-2011,0.1415,0.296166669,1.1160001,48,0.281471318,14.2160001,0.031
3,17-12-2011,0.1015,0.1898125,0.685,48,0.188404686,9.111,0.064
4,18-12-2011,0.114,0.218979167,0.676,48,0.202919279,10.511,0.065
5,19-12-2011,0.191,0.325979167,0.788,48,0.259204962,15.647,0.066
6,20-12-2011,0.218,0.3575,1.077,48,0.28759657,17.16,0.066
7,21-12-2011,0.1305,0.235083333,0.705,48,0.222069649,11.284,0.066
8,22-12-2011,0.089,0.221354167,1.094,48,0.267238875,10.625,0.062
9,23-12-2011,0.1605,0.291125,0.749,48,0.249076048,13.974,0.065
10,24-12-2011,0.107,0.169,0.613,47,0.150684669,7.943,0.065
11,25-12-2011,0.2175,0.3391875,0.866,48,0.263101199,16.281,0.069
12,26-12-2011,0.1495,0.261708333,0.838,48,0.244792744,12.562,0.066
13,27-12-2011,0.143,0.274,0.778,48,0.252127458,13.152,0.068
14,28-12-2011,0.1455,0.300520833,1.207,48,0.298680288,14.425,0.066
15,29-12-2011,0.152,0.307041667,0.888,48,0.264454634,14.738,0.066
16,30-12-2011,0.135,0.276854167,0.782,48,0.261185757,13.289,0.064
17,31-12-2011,0.1515,0.325729167,1.252,48,0.309888294,15.635,0.066
18,01-01-2012,0.151,0.256020833,0.812,48,0.225249412,12.289,0.068
19,02-01-2012,0.134,0.252083333,0.851,48,0.23721297,12.1,0.068
20,03-01-2012,0.1475,0.2355,0.674,48,0.209995339,11.304,0.068
21,04-01-2012,0.101,0.216270833,0.731,48,0.215205764,10.381,0.065
22,05-01-2012,0.146,0.331020833,0.786,48,0.27337337,15.889,0.063
23,06-01-2012,0.1025,0.223645833,0.765,48,0.241187002,10.735,0.064
24,07-01-2012,0.0995,0.137395833,0.572,48,0.094495466,6.595,0.065
25,08-01-2012,0.137,0.2305,0.857,48,0.221244449,11.064,0.068
26,09-01-2012,0.1345,0.260354167,0.771,48,0.243380491,12.497,0.065
27,10-01-2012,0.1435,0.201291667,0.694,48,0.16980514,9.662,0.068
28,11-01-2012,0.13,0.241041667,0.729,48,0.222034879,11.57,0.064
29,12-01-2012,0.1595,0.32675,1.242,48,0.292434572,15.684,0.068
30,13-01-2012,0.085,0.242500002,1.4680001,48,0.298875134,11.6400001,0.063
31,14-01-2012,0.118,0.158958333,0.693,48,0.147421953,7.63,0.064
32,15-01-2012,0.115,0.231979167,0.728,48,0.22456459,11.135,0.063
33,16-01-2012,0.127,0.279,0.734,48,0.261108113,13.392,0.064
34,17-01-2012,0.109,0.225958333,0.687,48,0.222616162,10.846,0.064
35,18-01-2012,0.1155,0.226979167,0.787,48,0.222493365,10.895,0.064
36,19-01-2012,0.128,0.243375,0.737,48,0.237005308,11.682,0.067
37,20-01-2012,0.092,0.224645833,0.766,48,0.239494458,10.783,0.063
38,21-01-2012,0.1195,0.175083333,0.922,48,0.18257809,8.404,0.066
39,22-01-2012,0.1015,0.173770833,0.779,48,0.178946353,8.341,0.066
40,23-01-2012,0.142,0.242520833,0.696,48,0.221527097,11.641,0.064
41,24-01-2012,0.1325,0.224541667,0.728,48,0.212666551,10.778,0.065
42,25-01-2012,0.121,0.2395625,0.73,48,0.237681434,11.499,0.064
43,26-01-2012,0.1325,0.265645833,0.756,48,0.248143103,12.751,0.065
44,27-01-2012,0.093,0.222333333,0.778,48,0.235291158,10.672,0.067
45,28-01-2012,0.0935,0.126583333,0.607,48,0.093678225,6.076,0.066
46,29-01-2012,0.1305,0.261395833,0.817,48,0.240438229,12.547,0.066
47,30-01-2012,0.1105,0.261895833,0.736,48,0.247504759,12.571,0.065
48,31-01-2012,0.138,0.246770833,0.753,48,0.225249482,11.845,0.061
49,01-02-2012,0.094,0.242958333,0.724,48,0.237644913,11.662,0.059
50,02-02-2012,0.074,0.221354167,0.708,48,0.23644859,10.625,0.057
51,03-02-2012,0.11,0.261020833,0.781,48,0.251718814,12.529,0.058
52,04-02-2012,0.0945,0.213,0.748,48,0.212907731,10.224,0.056
53,05-02-2012,0.139,0.2588125,0.661,48,0.221684235,12.423,0.059
54,06-02-2012,0.134,0.24875,0.698,48,0.240848191,11.94,0.063
55,07-02-2012,0.108,0.266208333,0.803,48,0.249842245,12.778,0.063
56,08-02-2012,0.132,0.234395833,0.789,48,0.224082122,11.251,0.061
57,09-02-2012,0.253,0.362166667,1.163,48,0.290002299,17.384,0.064
58,10-02-2012,0.0715,0.225270833,0.798,48,0.249221745,10.813,0.059
59,11-02-2012,0.0785,0.175479167,0.892,48,0.193109713,8.423,0.06
60,12-02-2012,0.124,0.2008125,0.763,48,0.204037403,9.639,0.062
61,13-02-2012,0.1375,0.270083333,0.723,48,0.24039744,12.964,0.062
62,14-02-2012,0.104,0.226354167,0.689,48,0.225861329,10.865,0.062
63,15-02-2012,0.1375,0.263645833,0.805,48,0.248618865,12.655,0.065
64,16-02-2012,0.213,0.344645833,0.761,48,0.266203369,16.543,0.066
65,17-02-2012,0.0945,0.257854167,1.327,48,0.300553744,12.377,0.063
66,18-02-2012,0.113,0.189916667,0.697,48,0.190515073,9.116,0.065
67,19-02-2012,0.122,0.250833333,0.832,48,0.245862904,12.04,0.065
68,20-02-2012,0.1235,0.260854167,0.817,48,0.250797366,12.521,0.064
69,21-02-2012,0.1235,0.242166667,0.753,48,0.230445575,11.624,0.064
70,22-02-2012,0.1935,0.311583333,0.747,48,0.245295378,14.956,0.066
71,23-02-2012,0.104,0.201354167,0.735,48,0.203695067,9.665,0.065
72,24-02-2012,0.098,0.197624998,1.3609999,48,0.257399392,9.4859999,0.065
73,25-02-2012,0.0865,0.122583333,0.62,48,0.091322164,5.884,0.064
74,26-02-2012,0.112,0.164833333,0.656,48,0.153188152,7.912,0.065
75,27-02-2012,0.1195,0.232770833,0.743,48,0.223493942,11.173,0.065
76,28-02-2012,0.11,0.182645833,0.769,48,0.177615829,8.767,0.066
77,29-02-2012,0.1405,0.170375,1.036,48,0.145717831,8.178,0.067
78,01-03-2012,0.1225,0.2123125,0.681,48,0.204798932,10.191,0.062
79,02-03-2012,0.093,0.193791667,0.728,48,0.207734483,9.302,0.062
80,03-03-2012,0.0935,0.141791667,0.575,48,0.116326203,6.806,0.063
81,04-03-2012,0.133,0.271708333,1.268,48,0.271037326,13.042,0.064
82,05-03-2012,0.1265,0.288270833,0.877,48,0.270331691,13.837,0.061
83,06-03-2012,0.126,0.266458333,0.765,48,0.247590513,12.79,0.064
84,07-03-2012,0.1255,0.278354167,0.797,48,0.258447039,13.361,0.062
85,08-03-2012,0.0965,0.258895833,1.319,48,0.29630133,12.427,0.061
86,09-03-2012,0.0885,0.2216875,0.74,48,0.22684423,10.641,0.062
87,10-03-2012,0.1095,0.1995,0.815,48,0.201749265,9.576,0.061
88,11-03-2012,0.1095,0.218041667,0.716,48,0.219758858,10.466,0.063
89,12-03-2012,0.1185,0.215708333,0.698,48,0.216049537,10.354,0.063
